Acrostiche ; Un acrostiche est un poème ou une strophe dont les premières lettres de chaque vers forment un mot.
Actinidier ; L’actinidier est le nombre de l’arbuste sur lequel pousse le kiwi. Le premier pays producteur de kiwis est la Chine, pays d’où il est originaire.
Agios ; Les agios sont les frais perçus par la banque en cas de découvert d’un compte.  Ce sont soit des agios proportionnels (plus on reste longtemps à découvert, plus on paye, en fonction d’un taux fixé par la banque), soit des agios forfaitaires (facturation d’un montant des qu’il y a découvert)
Ainsi Parlait Zarathoustra ; C'est un poème symphonique composé par Richard Strauss, inspiré du poème philosophique de Nietzsche. Il est utilisé dans le film 2001: L’odyssée de l’espace. 
Al-Qaïda ; Al-Qaïda, qui signifie « la base » en arabe, est un mouvement terroriste fondé en 1987 par Oussama Ben Laden en Afghanistan. Il est responsable des attentats du 11 septembre 2001.
Amboise ; Amboise est une ville de la Vallée de la Loire, connue pour son château qui fut la résidence de Charles VIII au XVe siècle, et qui abrite la tombe de Leonard de Vinci. L’artiste italien a en effet vécu à Amboise de 1516 jusqu’à sa mort en 1519.
Arche d'alliance ; L’arche d’alliance est une arche en bois d’acacia recouverte d’or pur, construit selon les instructions divines données à Moïse sur le Mont Sinaï. Elle était destinée à contenir les tables de la loi, mais aurait aussi abritée un vase contenant la manne et le bâton d’Aaron, le frère de Moïse. Après l’arrivée dans la terre promise, l’arche fut placée dans le Temple de Salomon à Jérusalem. Ce temple est détruit par l’armée babylonienne de Nabuchodonosor II en -586, et depuis on ne sait ce qu’est devenu l’arche.
Apex ; L’apex, en astronomie, est le point du ciel dans la constellation d’Hercule vers lequel le système solaire semble se diriger.
Arrêt Bosman ; L’arrêt Bosman est une décision de la Cour de justice des Communautés européennes, en 1995, qui a révolutionné le football européen. Auparavant il y avait des quotas limitant à 3 le nombre de joueurs étrangers dans un club. Depuis cet arrêt, il n'est plus possible de limiter le nombre de sportifs des nationalités concernées dans une équipe ou une compétition professionnelle (et pas seulement dans le football). Par conséquent, les clubs pouvant engager autant de joueurs communautaires qu'ils le souhaitent, cela entraîne immédiatement une augmentation des transferts. Cet arrêt permet alors aux clubs de recruter les meilleurs joueurs à des prix incroyablement hauts, et c’est à partir de cette année là que l’argent prit une place aussi importante dans le foot.
L'art de la guerre ; L’art de la guerre est un court traité de stratégies militaires chinois, rédigé par Sun Tzu probablement au 5eme siècle avant JC. L’auteur y analyse les dimensions de la guerre et y présente une succession de principes pour mener une guerre victorieuse.
Assyrie ; L’Assyrie est un des empires les plus puissants de Mésopotamie pendant l’Antiquité, qui a duré du XXe siècle av J.C à 609 av J.C. Sa capitale était Ninive (Mossul aujourd’hui, en Irak). Le royaume parvint au faîte de sa grandeur vers 900 av. J.C. Ils étaient ennemis de Babylone, royaume situé un peu plus au sud en Irak actuelle. La cité de Ninive fut totalement détruite par les Babyloniens, aidés par les Mèdes, en -612. Le dernier roi assyrien meurt en -609.
